REPORT_DATE,VEHICLES_IN_ACCIDENT,FIPS,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
2005-09-30,5.0,04013,04013,4.0,1,0,0
2005-09-30,5.0,04013,04013,4.0,1,0,0
2005-12-17,15.0,05051,05051,2.0,1,0,0
2005-07-29,19.0,32007,32007,1.0,1,0,0
2005-08-30,6.0,04013,04013,4.0,1,0,0
2005-06-29,6.0,12099,12099,2.0,1,0,0
2005-04-12,5.0,04013,04013,4.0,1,0,0
2005-09-07,8.0,37105,37105,1.0,1,0,0
2005-03-28,10.0,53041,53041,1.0,1,0,0
2005-02-22,5.0,48029,48029,2.0,1,0,0
2004-12-24,5.0,06065,06065,2.0,1,0,0
2004-11-16,6.0,17031,17031,5.0,1,0,0
2004-05-14,5.0,17031,17031,5.0,1,0,0
2004-03-31,7.0,49013,49013,2.0,1,0,0
2003-12-26,5.0,08045,08045,1.0,1,0,0
2004-01-07,5.0,17119,17119,1.0,1,0,0
2003-11-04,5.0,44007,44007,3.0,1,0,0
2003-06-20,6.0,55035,55035,2.0,1,0,0
2002-12-12,5.0,36065,36065,1.0,1,0,0
2002-01-29,8.0,36087,36087,2.0,1,0,0
2003-01-20,21.0,36065,36065,1.0,1,0,0
2002-12-05,5.0,34015,34015,1.0,1,0,0
2002-02-05,58.0,06019,06019,1.0,1,0,0
1999-08-18,8.0,39005,39005,1.0,0,1,0
1997-05-27,6.0,39069,39069,1.0,0,0,1
1996-12-23,5.0,36007,36007,1.0,0,0,1
1996-12-01,5.0,32013,32013,1.0,0,0,1
1997-05-27,8.0,37081,37081,1.0,0,0,1
1995-06-09,6.0,29099,29099,1.0,0,0,1
1996-05-15,5.0,24025,24025,1.0,0,0,1
1999-10-14,5.0,24025,24025,1.0,0,1,0
1994-11-22,25.0,24019,24019,1.0,0,0,1
1994-07-15,6.0,21037,21037,1.0,0,0,1
1998-08-28,5.0,18109,18109,3.0,0,0,1
2000-10-23,5.0,18019,18019,1.0,0,1,0
1998-04-26,6.0,17031,17031,5.0,0,0,1
1998-05-27,6.0,17031,17031,5.0,0,0,1
1996-02-28,5.0,09003,09003,1.0,0,0,1
1996-02-28,5.0,09003,09003,1.0,0,0,1
1995-05-04,7.0,09011,09011,1.0,0,0,1
1996-02-28,5.0,09003,09003,1.0,0,0,1
1996-11-26,6.0,09003,09003,1.0,0,0,1
1999-04-04,5.0,04015,04015,1.0,0,1,0
1999-03-16,8.0,04012,04012,2.0,0,1,0
2000-01-27,5.0,05119,05119,1.0,0,1,0
2001-12-07,5.0,08123,08123,1.0,0,1,0
2002-01-10,9.0,09003,09003,1.0,1,0,0
2001-07-25,6.0,47065,47065,1.0,0,1,0
2001-10-08,11.0,09003,09003,1.0,0,1,0
1999-10-09,5.0,55141,55141,1.0,0,1,0
1997-05-23,5.0,55071,55071,1.0,0,0,1
1996-01-29,8.0,55039,55039,3.0,0,0,1
1999-06-19,5.0,49037,49037,1.0,0,1,0
1996-07-31,5.0,48183,48183,1.0,0,0,1
1996-01-19,5.0,48073,48073,1.0,0,0,1
2000-04-03,5.0,47149,47149,2.0,0,1,0
